Flow,DP,bar,,LIQC,m3,
TJ/d,WGR = 5,WGR = 50,WGR = 100,WGR = 5,WGR = 50,WGR = 100
10.92596362,8.3628,8.9535,9.1524,"1,735.15","1,821.38","1,895.02"
21.85192724,6.5542,6.9907,7.1577,"1,434.09","1,537.88","1,628.58"
32.77789085,5.8187,6.1824,6.2661,"1,210.76","1,335.44","1,426.76"
43.70385447,5.279,5.6477,5.8547,975.4888,"1,119.65","1,249.32"
54.62981809,5.0532,5.415,5.7225,752.6979,918.6429,"1,077.38"
65.55578171,4.989,5.5481,5.9831,558.2101,778.8289,966.5111
76.48174532,5.2698,5.9524,6.4656,443.3845,680.2676,865.9828
87.40770894,5.7575,6.6027,7.3688,364.6152,604.5285,821.2264
98.33367256,6.4451,7.4663,8.388,302.9203,545.4566,766.5203
109.2596362,7.6076,8.7454,9.8249,288.2904,522.9837,745.6326
120.1855998,9.2198,10.2598,11.2965,299.8769,514.0484,719.1367
131.1115634,10.3287,11.881,13.3295,270.221,506.193,734.2796
142.037527,11.4362,13.323,14.9806,236.9819,483.057,714.3949
152.9634906,12.91,14.9346,16.8127,224.6851,466.3206,701.1879
163.8894543,14.5446,16.6974,18.7647,220.5106,456.7942,692.957
